#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 13.344364; 13.583986760241
1.02; 13.739498; 27.570202960685
2.04; 14.87864; 42.716016696859
3.05; 16.635196; 59.649928882076
4.07; 18.834531; 78.822668648807
5.09; 21.295303; 100.50036867833
6.11; 23.866459; 124.79539432251
7.13; 26.449371; 151.71971280963
8.14; 29.001281; 181.24176586231
9.16; 31.523571; 213.33140065873
10.18; 34.043339; 247.98605083337
11.20; 36.59742; 285.24064491303
12.22; 39.224444; 325.16943604935
13.23; 41.964982; 367.88797640284
14.25; 44.865024; 413.5586348309
15.27; 47.97643; 462.396570673
16.29; 51.350118; 514.66877477743
17.31; 55.022394; 570.67919742741
18.32; 58.999404; 630.73804430919
19.34; 63.246703; 695.12045861901
20.36; 67.689328; 764.02527353899
21.38; 72.223185; 837.54535932944
22.40; 76.733463; 915.65671303645
23.41; 81.11275; 998.22599267799
24.43; 85.272293; 1085.0295074269
25.45; 89.144005; 1175.7742578837
26.47; 92.676331; 1270.1147633643
27.48; 95.83075; 1367.6663316118
28.50; 98.5854; 1468.0220142777
29.52; 100.94767; 1570.7823880686
30.54; 102.97088; 1675.6022988138
31.56; 104.76472; 1782.2482676032
32.57; 106.4888; 1890.6492677262
33.59; 108.32383; 2000.9182560429
34.61; 110.42552; 2113.326673556
35.63; 112.87571; 2228.2292729547
36.65; 115.6511; 2345.9570997856
37.66; 118.62647; 2466.7137228582
38.68; 121.61774; 2590.5153293691
39.70; 124.45434; 2717.2044782056
40.72; 127.05614; 2846.5421425261
41.74; 129.48444; 2978.3517175603
42.75; 131.94305; 3112.6640477808
43.77; 134.72189; 3249.805121817
44.79; 138.0979; 3390.3828200219
45.81; 142.22564; 3535.1623877431
46.83; 147.05777; 3684.860856596
47.84; 152.32732; 3839.9234908843
48.86; 157.60404; 4000.3575992356
49.88; 162.41102; 4165.6850098833
50.90; 166.36566; 4335.0380740568
51.92; 169.29935; 4507.3775068998
52.93; 171.31603; 4681.7698357244
53.95; 172.76952; 4857.6417522675
54.97; 174.16591; 5034.935137953
55.99; 176.02143; 5214.1173550973
57.01; 178.71917; 5396.0457556887
58.02; 182.40716; 5581.7283734047
59.04; 186.96517; 5772.0508492862
60.06; 192.04564; 5967.5450190544
61.08; 197.1718; 6168.2574020023
62.10; 201.86115; 6373.7433372798
63.11; 205.73823; 6583.175981132
64.13; 208.6081; 6795.5300275137
65.15; 210.476; 7009.7855140413
66.17; 211.516; 7225.0996735646
67.19; 212.00479; 7440.9114059622
68.20; 212.2442; 7656.9668385306
69.22; 212.49511; 7873.2776933951
70.24; 212.93868; 8090.0400854154
71.26; 213.66927; 8307.5461789435
72.27; 214.71302; 8526.1147663291
73.29; 216.05815; 8746.052638168
74.31; 217.68072; 8967.6422183808
75.33; 219.5538; 9191.1385091223
76.35; 221.6363; 9416.7546975179
77.36; 223.84819; 9644.6224938682
78.38; 226.04656; 9874.7281327544
79.40; 228.01956; 10106.842200523
80.42; 229.51012; 10340.473598135
81.44; 230.27013; 10574.878653215
82.45; 230.13211; 10809.143209023
83.47; 229.07486; 11042.331536204
84.49; 227.25698; 11273.669339829
85.51; 224.99996; 11502.709591475
86.53; 222.71937; 11729.428295922
87.54; 220.82218; 11954.21574734
88.56; 219.60349; 12177.762618946
89.58; 219.17936; 12400.87774762
90.60; 219.48228; 12624.301237444
91.62; 220.32331; 12848.580858815
92.63; 221.49964; 13074.057932748
93.65; 222.90678; 13300.967416015
94.67; 224.60989; 13529.610589049
95.69; 226.8415; 13760.525444493
96.71; 229.91938; 13994.573453478
97.72; 234.10869; 14232.886002294
98.74; 239.47557; 14476.661803509
99.76; 245.7858; 14726.861146773
100.78; 252.48917; 14983.884225652
